title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"room for passenger to east coast pa (lake ozarks, kc)",kansascity,http://kansascity.craigslist.org/rid/3417939415.html,"i'm driving non-stop from lake ozark, mo to philadelphia, pa. leaving monday, nov. 19th (afternoon). room for one (1) passenger. must be a legit person, clean, and carrying valid id, and be able to help with at least a small portion of the gas cost.  [...]",2012-11-18T05:44:17-06:00,emailnotfound
**** need a ride ??? *** (indep . mo and surrounding area),kansascity,http://kansascity.craigslist.org/rid/3417919313.html,"need a ride ??? 
call 816-313-5320",2012-11-18T05:02:58-06:00,emailnotfound
round trip to denver/boulder leaving 11/23 (kc/denver),kansascity,http://kansascity.craigslist.org/rid/3417642341.html,"hey! i am moving back to boulder in the middle of december, and i am heading out thanksgiving weekend to get set up with a lease, etc. i will be leaving friday 11/23 and returning approximately monday, the 26th. i have a reliable car that gets great  [...]",2012-11-17T22:17:47-06:00,emailnotfound
"will pay for ride to lincoln, nebraska (opks/kcmo)",kansascity,http://kansascity.craigslist.org/rid/3417331830.html,"i am looking for a ride from overland park or south kansas city to lincoln, nebraska on wednesday, november 21. i will pay you $50 cash or the total cost of gas, whichever is greater. my family is meeting for thanksgiving in lincoln, and to make a lo [...]",2012-11-17T18:42:43-06:00,emailnotfound
omaha nebraska ,kansascity,http://kansascity.craigslist.org/rid/3417231522.html,"anyone headed to or through omaha on friday, day after thanksgiving? my wife and i need to get there to meet friends and catch a ride to cali. please call 541-301-4486. love and blessings, nicholas",2012-11-17T17:47:24-06:00,emailnotfound
looking to rideshare to west bend wi (kansas city to west bend wi),kansascity,http://kansascity.craigslist.org/rid/3417179919.html,"anyone heading up to west bend, wi (from kc area) to do a screening at spaulding? i am looking to rideshare with someone on tuesday, nov. 27th. i have an appt. the following morning (of the 28th) and i will gladly split fuel costs with one (or all) t [...]",2012-11-17T17:20:00-06:00,emailnotfound
looking for a ride south. (kansas city),kansascity,http://kansascity.craigslist.org/rid/3416854161.html,hey i'm really open to go as far as anyone can take me. i'm a hitching around at the moment. ideally heading for austin but i'm ready to go anywhere,2012-11-17T14:48:04-06:00,emailnotfound
copule needs ride mpls or des moines (overland park),kansascity,http://kansascity.craigslist.org/rid/3416836519.html,twentysomething couple needs ride to minneapolis or des moines. minneapolis is the destination but des moines would be close enough. have money for gas and very little luggage. call johnny or melanie 9one3 three41 2sixseven8 or e-mail me. thanks! ,2012-11-17T14:40:51-06:00,emailnotfound
"need ride to tulsa and need a ride back to kc, mo  (oral roberts university)",kansascity,http://kansascity.craigslist.org/rid/3416606093.html,"need a ride to tulsa by wednesday nov. 21 
and need a ride back to kc, mo from tulsa on sunday nov. 24 
thank you",2012-11-17T13:07:46-06:00,emailnotfound
ride offered: kc to topeka - sunday,kansascity,http://kansascity.craigslist.org/rid/3416574717.html,"hi, i'm going to topeka on sunday, in the early evening. returning monday, flexible on time. 
call me. make an offer or just chip in for gas. 
thanks and good luck! 
pat 
816-448-3545 
p.s. i don't care about your age, sex, background, etc. i am a 48 [...]",2012-11-17T12:55:32-06:00,emailnotfound
elite shuttle of k.c.  816 912 2023 (kansas city metro /surrounding),kansascity,http://kansascity.craigslist.org/rid/3416036673.html,"new!!!!!!!!!!!!!!!!! door-to-door service. 
the service if a town car 
the price of a shuttle!!!!! 
elite shuttle of k.c. offers 
1) fully insured and registered with the federal motor carrier authority to transport passenger. 
2) late model, clean,  [...]",2012-11-17T09:21:25-06:00,emailnotfound
**** need a ride ??? *** (indep . mo and surrounding area),kansascity,http://kansascity.craigslist.org/rid/3415845279.html,"need a ride ??? 
call 816-313-5320",2012-11-17T07:29:19-06:00,emailnotfound
need a ride ? call me (mo ks),kansascity,http://kansascity.craigslist.org/rid/3414971308.html,8165109188,2012-11-16T17:43:11-06:00,emailnotfound
**** need a ride ??? *** (indep . mo and surrounding area),kansascity,http://kansascity.craigslist.org/rid/3414796233.html,"need a ride ??? 
call 816-313-5320",2012-11-16T16:22:27-06:00,emailnotfound
transport my stainless sink east (plattsburg),kansascity,http://kansascity.craigslist.org/rid/3414682972.html,"i have this 4 compartment sink transported to chicago, louisville ky, or preferably detroit, mi. 
it is 18"" deep and 72"" long. 
not worried about it getting scratched but should be strapped down. 
legs can come off and laid on its back.",2012-11-16T15:35:01-06:00,emailnotfound
couple needs ride:  mpls or des moines  (overland park),kansascity,http://kansascity.craigslist.org/rid/3414622852.html,twentysomething couple needs ride to minneapolis or des moines. minneapolis is the destination but des moines would be close enough. have money for gas and very little luggage. call 9one3 three41 2sixseven8. thanks!,2012-11-16T15:10:56-06:00,emailnotfound
"ride needed: i-70 west to vail, co (i-70 west)",kansascity,http://kansascity.craigslist.org/rid/3414524689.html,"i'm trying to get back home to colorado for thanksgiving and i'm in need of a ride! if you are traveling west on i-70 and have room for one passenger with a few bags i would love to catch a ride with you.. i'm a very laid-back and cool snowboarder, a [...]",2012-11-16T14:32:06-06:00,emailnotfound
"kc to nashville 11/21, return 11/25",kansascity,http://kansascity.craigslist.org/rid/3414340511.html,"headed to nashville from kc on wednesday, 11/21 and will return sunday, 11/25. gas will be split (i have a little civic so its good on gas). 
i have a headphone jack in my car so we can hook up ipods so bring some tunes or we can get a little crazy a [...]",2012-11-16T13:21:57-06:00,emailnotfound
need ride to west coast (bay area or portland),kansascity,http://kansascity.craigslist.org/rid/3414257963.html,"just me, my dog and my bike. split gas and driving",2012-11-16T12:51:21-06:00,emailnotfound
ride needed to nashville - end of november,kansascity,http://kansascity.craigslist.org/rid/3414246161.html,couple needs a ride to nashville (tn) last days of november (28 or 29). you can collect us around springfield (mo) or let us know where. ,2012-11-16T12:47:10-06:00,emailnotfound
rides to work (clinton),kansascity,http://kansascity.craigslist.org/rid/3414149139.html,"just looking on here to see if there's anyone who works in warrensburg that either comes from or goes through clinton on a daily basis. i am working right now, but finding it very difficult to get to warrensburg each day without a vehicle. can help w [...]",2012-11-16T12:12:00-06:00,emailnotfound
i'm leaving kc. going to branson monday noon (kansas city),kansascity,http://kansascity.craigslist.org/rid/3413685452.html,i am taking our uncle to visit family in kansas city early monday morning and headed back around noon. i'm offering ride share for 30.00 per person with 2 pieces of luggage each. only 2 seats available so call now. 417 two31 6815 my name is walter. y [...],2012-11-16T09:15:04-06:00,emailnotfound
**** need a ride ??? *** (indep . mo and surrounding area),kansascity,http://kansascity.craigslist.org/rid/3413364328.html,"need a ride ??? 
call 816-313-5320",2012-11-16T04:58:56-06:00,emailnotfound
**** need a ride ??? *** (indep . mo and surrounding area),kansascity,http://kansascity.craigslist.org/rid/3413355833.html,"need a ride ??? 
call 816-313-5320",2012-11-16T04:43:14-06:00,emailnotfound
"plenty of room for cargo and animals! (houston, okc, joplin, kc, nash, atl)",kansascity,http://kansascity.craigslist.org/rid/3413085544.html,"hi, 
we are leaving houston tomorrow morning (friday) and heading to atlanta for the holidays. we will be passing through oklahoma city, kansas city missouri, fayetteville and romance arkansas, nashville tennessee and atlanta. we have room for cargo  [...]",2012-11-15T22:38:48-06:00,emailnotfound
need a ride to iowa and or chicago ? (finishing in chicago),kansascity,http://kansascity.craigslist.org/rid/3413081790.html,leaving on 11/20 or 11/21 to end up in chicago... can either go towards and thru st louis or hannibal or iowa.. seeking some help with gas ... we are a fun / middle aged cool couple so no worries about any smoking or schmokin ! text to 816-269-6263 a [...],2012-11-15T22:35:53-06:00,emailnotfound
the erran man (nkc / gladstone),kansascity,http://kansascity.craigslist.org/rid/3396215596.html,"yes for those of you who do not have the time i am here for that! 
if you need errons ran , groceries picked up, dry cleaning or anything else you may have to have done that you don't have the time to drop off or pick up yourself feel free to give me [...]",2012-11-15T19:59:31-06:00,emailnotfound
need ride south dec. 10thish towards georgia or louisiana (kansas city),kansascity,http://kansascity.craigslist.org/rid/3412382781.html,"hey my name is mikee and i really need a ride from kansas city to georgia or louisiana ( or somewhere in-betweeen). i am a musician and very pleasant to travel with, i also have a little money to help with gas. pleasefeel free to call my number 520-2 [...]",2012-11-15T16:14:29-06:00,emailnotfound
**** need a ride ??? *** (indep . mo and surrounding area),kansascity,http://kansascity.craigslist.org/rid/3412293663.html,"need a ride ??? 
call 816-313-5320",2012-11-15T15:36:17-06:00,emailnotfound
