title,postingFrom,permalink,shortDescription,postingDate,mailToLink
wanted old cars and trucks 500 and up cash (york),york,http://york.craigslist.org/rid/3392415367.html,"paying cash for your unwanted vehicles 500.00 and up! 
must have title! call 717-683-8828",2012-11-18T06:21:45-05:00,emailnotfound
ride needed - westminster to lewes on mon 12/3 (westminster),york,http://york.craigslist.org/rid/3410008871.html,"i'm looking for a ride from westminster to lewes. 
leaving december 3rd returning december 3rd. have court date at 12:30 in georgetown de. close to lewes de from westminster md to lewes de (georgetown it is 3hrs contact me on zimride: http://www.zimr [...]",2012-11-17T12:02:43-05:00,emailnotfound
transportation help (red lion area),york,http://york.craigslist.org/rid/3387088290.html,"red lion and surrounding area. i am a retired gentleman that believes in honesty, integrity and fairness. i have a spotless driving record and a late model 4 door car. i can supply car rides or run errands for you. i am usually available, even on a w [...]",2012-11-16T16:14:03-05:00,emailnotfound
rideshare/carpool app (ios/android),york,http://york.craigslist.org/rid/3345446018.html,"226 cites, 26 countries 5 continents and growing ...... 
you have car and smartphone.. post your ride offer 
you have smartphone and no car.. post your ride request. 
see the match... and connect right away. 
all on the go! no more wait! post multipl [...]",2012-11-15T19:58:28-05:00,emailnotfound
york to harrisburg 2nd shift rideshare (york to harrisburg),york,http://york.craigslist.org/rid/3408114109.html,i travel from york to harrisburg sunday thru thursday and work from 4 pm until midnight. i am interested in finding one to four people to take turns driving on this commute for one or all of these days. please reply if interested asap.,2012-11-13T20:32:34-05:00,emailnotfound
need rides (w. york to apple hill),york,http://york.craigslist.org/rid/3398854197.html,"will need a ride, for surgery, to apple hill from west york and back on nov. 26, 2012. then every day after that, for therapy, for 2 weeks. then 2 times a week for therapy, until i am able to drive again. also, my girlfriend will need rides to doctor [...]",2012-11-09T19:31:09-05:00,emailnotfound
going to the airport? (central pa),york,http://york.craigslist.org/rid/3331514692.html,"if your going on a trip, i can provide you with a ride to your flight and return to pick you up when you get back you save on the high cost of airport parking and all that goes with it, many times the cost of the trip could be less than the parking f [...]",2012-11-07T10:41:55-05:00,emailnotfound
need pickup (hanover),york,http://york.craigslist.org/rid/3377737405.html,"i am moving and need a pickup. i have only one piece of furniture. all the rest is boxes and various kinds of wood and plywood.i am an artist. i am moving 10 miles from hanover on pine grove rd off of 194. i will need anhour to load, 20 minutes to dr [...]",2012-10-31T16:04:36-04:00,emailnotfound
need a ride? (central pa),york,http://york.craigslist.org/rid/3306403413.html,"call me if you need a ride anywhere at any time, i base my rates on roughly 60 cents per mile, lowest i've seen, reliable and available most times, call or message for a quote and availabilty. 717-515-9954",2012-10-27T12:33:43-04:00,emailnotfound
carpool (spring grove),york,http://york.craigslist.org/rid/3351404190.html,"i live on walters hatchery road, close to new salem, i'm looking for anyone close by who drives to lancaster, i need to get off at the centerville exit. will share gas expensive. this will only be 3 times a week, every other day",2012-10-19T21:49:46-04:00,emailnotfound
ride available to nyc on 10/19 (from york-harrisburg area.),york,http://york.craigslist.org/rid/3328462782.html,ride leaves area around 6 pm and will arrive in nyc at approximately 11 pm. could be later depends on traffic. the exact pickup spot will depend on where you are located. i do this trip twice a month and have been doing it for the last three years. y [...],2012-10-09T22:33:23-04:00,emailnotfound
tuesday's auction (york to roots/rnd trip),york,http://york.craigslist.org/rid/3327861134.html,"need 
you to drive me 
stay while i bid 
then let me use your trunk to haul back 
this is going to be a daily thing for me the next couple months 
i would also like to be driven to other places but we can discuss that 
please call 
751-6407 
thank yo [...]",2012-10-09T17:29:35-04:00,emailnotfound
"need ride to towson, md.? sunday",york,http://york.craigslist.org/rid/3321039002.html,"i am looking for a ride sunday between 10-12 to go to towson, md. from cape horn rd. $25.00",2012-10-06T16:02:00-04:00,emailnotfound
"need free rides to grocery stores & dr. appointments (wrightsville, columbia, e. &amp; s. york)",york,http://york.craigslist.org/rid/3246969888.html,"i'm a young senior citizen lady living in wrightsville housing development ( only income is low disability income ), who needs help obtaining """"free rides"""" ocassionally , (about 2 times a mo.) to grocery stores (areas- columbia or e. york areas, or  [...]",2012-10-03T00:32:25-04:00,emailnotfound
