title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"need sled hauled from w. yellowstone, montana (ellsworth, wi)",minneapolis,http://minneapolis.craigslist.org/wsh/rid/3380680729.html,"i need one snowmobile hauled from west yellowstone, mt to the twin cities area or ellsworth, wi. i will pay $200. 715-273-4100 or 612-978-9337 peter",2012-11-18T06:48:39-06:00,emailnotfound
" driving to phoenix, az after thanksgiving (s. minneapolis)",minneapolis,http://minneapolis.craigslist.org/hnp/rid/3417877626.html,"i'm originally from minneapolis & i have local references available / and i expect you to provide me with references in return. 
i reside in scottsdale, az , and i am driving a very nice full size cargo van ( nice stereo + cruise control + padded car [...]",2012-11-18T03:29:54-06:00,emailnotfound
driving to green bay on thanksgiving morning (minneapolis),minneapolis,http://minneapolis.craigslist.org/hnp/rid/3417844027.html,driving to gb on thanksgiving at 8 am and i will not be driving back. hit me up if you need a ride,2012-11-18T02:22:41-06:00,emailnotfound
looking for ride minneapolis to mankato 11/20 or 11/21 (ne minneapolis),minneapolis,http://minneapolis.craigslist.org/hnp/rid/3417519918.html,"looking for ride to mankato tuesday night after work- 11pm would be earliest, or wednesday morning. just need to be there before 11am wednesday 11/21 
if you are headed to mankato between those times and would like a person to share the road with, i  [...]",2012-11-17T20:42:33-06:00,emailnotfound
"need thanksgiving ride to sioux city, ia or return trip (minneap to ia, ne or sd)",minneapolis,http://minneapolis.craigslist.org/hnp/rid/3417480870.html,"hello 
trying to get home for the holidays. my family is in sioux city, ia but anyone headed to sioux falls, sd, omaha, ne or spencer, ia or anywhere in between, would be great. 
traveling with backpack. have very little cash to offer, but good road  [...]",2012-11-17T20:15:26-06:00,emailnotfound
looking for a ride? (dundas),minneapolis,http://minneapolis.craigslist.org/dak/rid/3417250697.html,if your looking for a ride from a party or to a party i can give you a ride there. i charge 1.50 per mile.,2012-11-17T17:57:33-06:00,emailnotfound
seattle to minneapolis (cargo only),minneapolis,http://minneapolis.craigslist.org/hnp/rid/3417058797.html,i am leaving seattle monday november 19th and will be headed east back to minneapolis. i have a pickup bed that is cover with a topper to haul stuff boxes or cargo. i can also pull a bumper trailer back. if you are interested please let me know and m [...],2012-11-17T16:20:14-06:00,emailnotfound
"pickup headed to michigan monday evening or tuesday morning (excelsior, mn)",minneapolis,http://minneapolis.craigslist.org/hnp/rid/3416639799.html,"headed to east lansing/okemos michigan. can drop off in madison, milwaukee, or michigan within reason. 
""(612)615-9773"" - coach",2012-11-17T13:20:48-06:00,emailnotfound
from airport to barron county wi (minneapolis),minneapolis,http://minneapolis.craigslist.org/hnp/rid/3416576173.html,"i'm looking for a ride from msp airport, ideally to rice lake, wi but as close as you can get: turtle lake, cumberland, barron etc. would be fine. 
leaving anytime after 10:30am 
i will gladly pay for gas 
thanks!",2012-11-17T12:56:06-06:00,emailnotfound
transportation services (st paul),minneapolis,http://minneapolis.craigslist.org/ram/rid/3395376936.html,"30 year + safe driver. never had an accident providing rides to airport, casino, grocery store etc. located in st paul. 
negotiable rates 
txt or msg 651 689 3559",2012-11-17T09:46:35-06:00,emailnotfound
need ride to nyc to help with hurricane sandy victims  (new york),minneapolis,http://minneapolis.craigslist.org/hnp/rid/3415877619.html,"i am looking for someone or a group of people who are going to nyc. i need to go back as there are a lack of volunteers 
and people needing assistance. 
if you would be willing to give me a ride, it would be very much appreciated. 
best regards, 
n",2012-11-17T07:51:59-06:00,emailnotfound
small distance driver (st paul (east side)),minneapolis,http://minneapolis.craigslist.org/ram/rid/3370358268.html,"hello my name is solomon bell and me and my wife are looking to make extra money for the holidays. i'm a 30 yr old male with a clean driving history and license. 
i have free time during the hours of 8:00am - 3:30pm and some evenings. i'm self motiva [...]",2012-11-17T07:39:46-06:00,emailnotfound
jet car service (tc),minneapolis,http://minneapolis.craigslist.org/ram/rid/3415653637.html,"personal car service for competetive rates. anywhere, anytime, on time. txt jet at (651)494-4342. will meet or beat competitors rates!",2012-11-17T02:36:57-06:00,emailnotfound
