title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"need a ride? (flint,ann arbor,detroit,toledo,sandusky,akron,canton allianc)",flint,http://flint.craigslist.org/rid/3383820585.html,looking for riders between flint mi to alliance ohio can make any stops in between the week of thanksgiving..would like to share gas costs..let me know where u need ride and little bit about yourself..,2012-11-17T23:46:45-05:00,emailnotfound
flint to portland/west coast on dec 16th,flint,http://flint.craigslist.org/rid/3416513177.html,"on december 16th, i'll be heading from flint michigan to portland, or. i'm a male student (20) driving back home in a '97 accord. so far i'm driving alone, but can take someone with me who will help with driving and maybe chip in for gas. my car is f [...]",2012-11-17T13:31:48-05:00,emailnotfound
need a ride (holly),flint,http://flint.craigslist.org/rid/3413479885.html,i am looking for someone that is going to fenton or holly i will be willing to give gas money and plus get my shopping done ..... thank you.,2012-11-16T08:17:46-05:00,emailnotfound
discount rides to any state or city for less,flint,http://flint.craigslist.org/rid/3395846195.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:06:05-05:00,emailnotfound
transportation services / wheelchair & ambulatory services (flint and surrounding areas),flint,http://flint.craigslist.org/rid/3406374870.html,"**$25 special introductory price - lowest price in genesee county** 
we operate a 98% on-time wheelchair transporation service with our fleet of newer vans! 
our professional drivers are certified in cpr, first aid, defensive driving; further, they h [...]",2012-11-15T08:32:25-05:00,emailnotfound
ride to boston offered (flint/boston),flint,http://flint.craigslist.org/rid/3409560844.html,"i will be driving to boston this friday the 16th. i will be leaving from east lansing, but traveling through flint. 
put in some money for gas and you will have a ride. 
email me here 
take care ",2012-11-14T13:54:49-05:00,emailnotfound
grand blanc to waterford (grand blanc),flint,http://flint.craigslist.org/rid/3406761597.html,i work in waterford and leave @ 6 am from grand blanc m-f. i return home leaving waterford @ 6 pm. if your interested in sharing a ride contact me. i drive a 09 gmc sierra and would like to split gas or just help some one in need! looking for good ka [...],2012-11-13T11:33:00-05:00,emailnotfound
i will drive you anywhere (grand blanc),flint,http://flint.craigslist.org/rid/3377863404.html,hi i will drive you anywhere you want to go in the usa. with your car or deliver your car anywhere you want it call me anytime 810-742-3407 for some pay and all my exspences thank you i will take good care of you and your things ,2012-11-13T09:38:03-05:00,emailnotfound
need to transport live birds from romeo mi to central ny area.,flint,http://flint.craigslist.org/rid/3406366533.html,"i need to transport live birds like pheasants (size of chickens) in about 10 card board boxes (box size is roughly 16""x12""x12"") from romeo, michigan to central ny area . once birds are picked-up you should reach ny (rochester, syracuse area) within 2 [...]",2012-11-13T08:21:53-05:00,emailnotfound
your chauffeur (genessee county),flint,http://flint.craigslist.org/rid/3404297248.html,"mature driver at your service. spotless newer vehicle with excellent insurance. i charge 20.00 per hour, with a one hour minimum. daily hours from 8am to 5pm. other times available by appointment. also i will run your errands. please call (810) 577-4 [...]",2012-11-12T11:43:47-05:00,emailnotfound
