title,postingFrom,permalink,shortDescription,postingDate,mailToLink
driving to fort walton beach (fort walton beach destin),dallas,http://dallas.craigslist.org/mdf/rid/3417916653.html,"anyone wants to get a ride anywhere along the way to mobile, panhandle pensacola, fort walton beach, destin. share the gas expenses. need reference and driver license to ensure you are not criminal. email me ahead. plan to leave on nov. 25th sunday.",2012-11-18T04:57:23-06:00,emailnotfound
i need a ride in early december to minnesota for bears-vikings game! (dfw area to minneapolis),dallas,http://dallas.craigslist.org/dal/rid/3387303026.html,looking for someone headed to the north country in early december to take on an extra traveler. i have tickets to the bears-vikings game and am looking to cut costs since going to a game in itself is so expensive. i would be willing to pay half the g [...],2012-11-18T04:29:47-06:00,emailnotfound
looking for a ride from dallas to lubbock on monday (dal to lbk),dallas,http://dallas.craigslist.org/dal/rid/3417864046.html,"hello, 
i am looking for a ride from dallas to lubbock. my car was broken into this past week and is currently in the shop and the price of a flight is crazy this time of the year as thanksgiving nears. if you are willing to drive and can provide rel [...]",2012-11-18T03:01:04-06:00,emailnotfound
"***transportation-local services (dallas/fw)*** (irving, dallas to arlington)",dallas,http://dallas.craigslist.org/ftw/rid/3408901446.html,"call us first for a reasonable quote. drop-offs, pick-ups or round-trips available. call us today at #(214)586-2163. we offer much affordable rates than your typical taxi services. call now!!",2012-11-18T01:49:11-06:00,emailnotfound
***transportaion services for less!! dallas/fw & surrounding areas!*** (dallas/fw),dallas,http://dallas.craigslist.org/dal/rid/3404473853.html,"drop-offs and pickups available. round trips at a reduced rate plus daily and weekend discounted rates available!! our services offer half the rates than other taxi services. call us today!! #(214)586-2163. -sandy steven 
north dallas 
east dallas 
r [...]",2012-11-18T01:48:33-06:00,emailnotfound
need a ride? call for immediate pickup at #(214)586-2163 (all dallas/fw/irving locations),dallas,http://dallas.craigslist.org/dal/rid/3411155811.html,"providing transportation to your desired destination. low rates, drivers will wait if needed and we have low affordable rates! call now at 214-586-2163.",2012-11-18T01:48:13-06:00,emailnotfound
"need to get somewhere during the day, and don't have a vehicle? (denton)",dallas,http://dallas.craigslist.org/dal/rid/3408119492.html,"hello, do you need to get somewhere, and you don't have a car? ...please give me a txt, during the day only, from 7-7, @ 214/ 451-7707 
when you do let me know time for pu, pu address and destination 
i know how hard it is to be without a car, whethe [...]",2012-11-18T01:36:24-06:00,emailnotfound
looking for a ride from dallas to cali (dallas),dallas,http://dallas.craigslist.org/dal/rid/3417795263.html,"looking for a ride there. will split gas and 
tke turns driving. 
please email me asap",2012-11-18T01:03:39-06:00,emailnotfound
dfw to lufkin and back for thanksgiving weekend,dallas,http://dallas.craigslist.org/mdf/rid/3417602502.html,"driving from the dfw area through lufkin very early thanksgiving morning nov 22, 2012, and returning early that next sunday nov 25, 2012",2012-11-17T21:44:28-06:00,emailnotfound
ride offer tonight from dallas- waco,dallas,http://dallas.craigslist.org/dal/rid/3417532053.html,"im going to waco tonight 
put in $20.00 for gas.. 
safe reliable ride. 
no drug trafficking! 
txt 214-701-0067",2012-11-17T20:51:13-06:00,emailnotfound
can anyone give me a ride to river oaks & back tomorrow afternoon? (burleson-river oaks-burleson),dallas,http://dallas.craigslist.org/ftw/rid/3417352958.html,"i need to be in river oaks at 1pm tomorrow to pick something up and am needing a ride there and then back to burleson. 
please respond with your name, # i can text you at, & city you're in, as well as how much you'd charge. i don't have much cash rig [...]",2012-11-17T18:55:02-06:00,emailnotfound
"dfw to memphis (memphis, tn)",dallas,http://dallas.craigslist.org/dal/rid/3417176946.html,"headed to memphis from dfw airport area on the night of the 20th (or the morning of the 21st) for thanksgiving, and headed back from memphis to dallas on the 26th. 
i will be driving through texarkana and little rock. 
i am a 23 year old female, full [...]",2012-11-17T17:18:28-06:00,emailnotfound
