title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offer rochester to binghamton sun. after break (penfield),binghamton,http://binghamton.craigslist.org/rid/3414936440.html,"hello! 
i'll be returning to binghamton from rochester on sunday 11/25 after thanksgiving break. i'm a college student and just wanted to offer a ride to anyone else who might be traveling the same path that day. i haven't decided yet what time i'll  [...]",2012-11-16T18:26:09-05:00,emailnotfound,FALSE,binghamton,2012-11-25T18:26:09-05:00,binghamton
binghamton to parksville (binghamton),binghamton,http://binghamton.craigslist.org/rid/3410991753.html,looking to find a ride to parksville on december 14th will be coming back on the 16th but can take the bus back would be willing to help with gas money if you are going to the area at that time please e-mail me thanks,2012-11-15T04:28:23-05:00,emailnotfound,FALSE,binghamton,2012-12-14T04:28:23-05:00,parksville
from windsor to binghamton,binghamton,http://binghamton.craigslist.org/rid/3410936417.html,im seeking a ride on monday wednesday and thursday nights from windsor to binghamton. i also need a ride every other sunday. any one or all of these days would be appreciated. the drop of place and time are pretty flexable as i can be dropped near a  [...],2012-11-15T02:37:01-05:00,emailnotfound,FALSE,binghamton,2012-11-19T02:37:01-05:00,binghamton
offer: binghamton u to nyc/li (bing---&gt;li),binghamton,http://binghamton.craigslist.org/rid/3410820858.html,"college student driving from binghamton university to long island friday 11/16, leaving sometime in the evening. looking for some supplementation of travel costs. driving large suv. so plenty of room. 
thanks!",2012-11-15T00:15:02-05:00,emailnotfound,TRUE,binghamton,2012-11-16T00:15:02-05:00,nyc/li
ride offer to albany then on to vermont (binghamton),binghamton,http://binghamton.craigslist.org/rid/3396197156.html,"driving to albany then on to vermont, won;t be checking email so if interested please call steve 802-342-1692 only, share gas and maybe driving. leaving binghamton afternoon of friday tomorrow the 9th so call asap if you need a ride.",2012-11-08T17:19:36-05:00,emailnotfound,TRUE,binghamton,2012-11-08T17:19:36-05:00,albany
ride offered to nyc,binghamton,http://binghamton.craigslist.org/rid/3394534118.html,will be driving to nyc this weekend on sunday. email if interested.,2012-11-08T00:00:21-05:00,emailnotfound,TRUE,binghamton,2012-11-11T00:00:21-05:00,nyc
bing. to wilmington nc. (vestal),binghamton,http://binghamton.craigslist.org/rid/3393965702.html,i've got a small amount of furniture (1/4 of a pickup truck) that needs to go to nc. before christmas. got room ???? $$$$$$ 748-0174 thanks.,2012-11-07T18:19:45-05:00,emailnotfound,TRUE,binghamton,2012-01-04T18:19:45-05:00,wilmington
ride offer: vt to dc and places in between 11/21/12 (vt to dc metro area),binghamton,http://binghamton.craigslist.org/rid/3386148602.html,"a friend and i are heading to the dc metro area for thanksgiving with my family. we have three more seat belts and/or some amount of luggage carrying capacity in my reliable, relatively environmentally respectful saturn. we will be departing from mid [...]",2012-11-04T12:47:14-05:00,emailnotfound,TRUE,binghamton,2012-11-21T12:47:14-05:00,dc
daily carpool binghamton to syracuse,binghamton,http://binghamton.craigslist.org/rid/3381961191.html,"just started a new job in syracuse, would love to find another to carpool with monday through friday, need to be in syracuse close to 8am in the morning and plan to leave close to 5pm back to binghamton. i am willing to work something out even if for [...]",2012-11-02T14:21:59-04:00,emailnotfound,TRUE,binghamton,2012-11-05T14:21:59-04:00,syracuse
anyone need a ride to n.h..11/1/12? (concord area),binghamton,http://binghamton.craigslist.org/rid/3364512358.html,leaving from binghamton early afternoon..,2012-10-25T15:02:58-04:00,emailnotfound,TRUE,binghamton,2012-11-01T15:02:58-04:00,n.h..11/1/12
"binghamton to flint,michigan back 11/02/2012 (binghamton)",binghamton,http://binghamton.craigslist.org/rid/3350617127.html,"hi, 
driving from binghamton, to flint, michigan where i own a couple of houses and staying a day or two and returning to maine, but can return to binghamton, really dont want to do all this by myself, im in upstate maine right now, have to be in bin [...]",2012-10-19T15:38:17-04:00,emailnotfound,FALSE,binghamton,2012-11-02T15:38:17-04:00,flint
ride offer to nyc (auburn),binghamton,http://binghamton.craigslist.org/rid/3323166506.html,"leaving auburn for nyc at 4 am tomorrow/ monday. 
can pick anyone up en route 17, binghamton etc. 
no smoking in car. drop off either in chelsea or wall street, not sure which one i'm going to. 
$20.00 for gas and tolls. 
email if interested",2012-10-07T17:36:30-04:00,emailnotfound,TRUE,binghamton,2012-10-07T17:36:30-04:00,nyc
from windsor to bing or jc (church on sunday),binghamton,http://binghamton.craigslist.org/rid/3311663111.html,"hi there. i need a ride on sundays to either binghamton or jc area so i can get to church. i am between jobs right now so if your looking for help with gas, i may not be able to help you out until i start working again. just simply looking for someon [...]",2012-10-02T15:05:49-04:00,emailnotfound,FALSE,binghamton,2012-10-07T15:05:49-04:00,bing
"binghamton to ithaca, 5 days a week (binghamton)",binghamton,http://binghamton.craigslist.org/rid/3310757192.html,"need to get to ithaca? i work at cornell college and need gas money. thursday thru monday nights, i can pick you up at the front street mc donalds in binghamton, ny. i have to leave by 9:15 pm, every night, no waiting. i will then drop you off at lou [...]",2012-10-02T09:04:56-04:00,emailnotfound,TRUE,binghamton,2012-10-08T09:04:56-04:00,ithaca
philly area to corning area (binghamton),binghamton,http://binghamton.craigslist.org/rid/3281910787.html,"i am looking for a ride to and from the corning area (so binghamton/elmira/ithaca will also work) from philly or nyc on weekends, leaving thursday, friday, or saturday and returning sunday or monday morning. i have no specific dates for going as i wi [...]",2012-09-19T10:00:10-04:00,emailnotfound,TRUE,binghamton,2012-09-24T10:00:10-04:00,corning
