title,postingFrom,permalink,shortDescription,postingDate,mailToLink
cheapest deals on travel to any state,logan,http://logan.craigslist.org/rid/3412709575.html,"this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel ticke [...]",2012-11-15T17:48:32-07:00,emailnotfound
sacramento ca/lake tahoe/reno/elko nv (logan utah),logan,http://logan.craigslist.org/rid/3410276550.html,"tuesday the 20th. going home to sacramento/modesto ca. could make a stop to drop you off on the way. elko 40 bucks, reno 60, tahoe 65 sac 80 bucks. with three college students that goto usu in logan, utah. if you need to get to will be great. we are  [...]",2012-11-14T16:42:10-07:00,emailnotfound
rent my 2003 ford explorer for $41.00/day (cache county),logan,http://logan.craigslist.org/rid/3410235946.html,"rent my 2004 ford explorer in logan clean interior, leather seats with driver and passenger seat warmers, dual heating, brand new wiper blades, four wheel drive, mp3/ipod hookup, seats 7 or fold seats down for space. this vehicle will comfortably tak [...]",2012-11-14T16:23:06-07:00,emailnotfound
"ride to reno/tahoe (logan, ut to reno/tahoe)",logan,http://logan.craigslist.org/rid/3403901477.html,"hello, 
on tuesday, nov. 13, i will have an extra seat in my car, driving to tahoe, ca. i will be leaving logan at 3:00 pm. the cost is $50. i am looking to share my car with someone clean and well-mannered. i expect to be paid up front. i cannot acc [...]",2012-11-12T06:55:46-07:00,emailnotfound
logan to provo nov 19 or 20 (logan),logan,http://logan.craigslist.org/rid/3401497986.html,family guy needs a ride down to the in-laws for thanksgiving. days that would work: monday nov 19th evening or anytime on tuesday nov 20th. happy to help with gas (the kind that goes in the gas tank). text 248-3 oh 5- 0 eight 39. thanks! dave,2012-11-10T23:11:47-07:00,emailnotfound
"tremonton to vernal and back, utah",logan,http://logan.craigslist.org/rid/3375646406.html,"my name is chad. i'm looking to head to vernal utah and am looking for a ride. if anyone is heading that way with in the next few weeks please let me know. i can help with some gas money if needed. i'm not a crazy or druggie, i'm just trying to get t [...]",2012-10-30T15:25:33-06:00,emailnotfound
commuting carpool or ride offer slc-logan (slc-logan),logan,http://logan.craigslist.org/rid/3361368771.html,"hey all, 
starting in january i will making the drive from slc downtown area to logan and back every monday and friday and driving slc to brigham city and back every thursday. time is somewhat flexible. 
so i'm looking to set up a carpool, or just be [...]",2012-10-30T05:17:28-06:00,emailnotfound
travel deals to any city or state look,logan,http://logan.craigslist.org/rid/3344219509.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-10-28T13:18:41-06:00,emailnotfound
i need ride from logan to rexburg (logan),logan,http://logan.craigslist.org/rid/3357573954.html,i need a ride from logan to rexburg and back this weekend oct 26-28th (fri to sun) im hopefully looking to leave friday at 2:30 p.m. at the earliest and return on sunday night on the 28th if you could text me and let me know if you are available to d [...],2012-10-22T15:26:23-06:00,emailnotfound
need a ride to washington state??? (logan),logan,http://logan.craigslist.org/rid/3336716767.html,"i'll be driving my toyota tacoma from crested butte, co to bellingham, wa 10/24-10/25 stopping overnight in logan, ut. i've got room for one passenger and some stuff. looking to share driving and gas. email me thru craigslist if you need a ride all t [...]",2012-10-18T07:59:21-06:00,emailnotfound
logan to provo - oct 18th thursday (uvu),logan,http://logan.craigslist.org/rid/3341146713.html,"i'm driving to orem in the morning (leaving logan between 8-10am). might be driving back the same day, or the next day. i have room for up to 5 people and luggage (driving a mini-van). asking for $10 per person. (20 for round trip). 
text 8 0 1 - 2 1 [...]",2012-10-15T14:40:00-06:00,emailnotfound
ride from logan to boise,logan,http://logan.craigslist.org/rid/3340626822.html,"i am trying to make to boise, id this weekend. 
i am willing to drive if anyone wants a ride and willing to share gas costs. would want to leave thursday night or friday morning. 
or if someone is offering a ride i'd also be up to that!",2012-10-15T11:29:43-06:00,emailnotfound
11 oct logan to slc and return 15 oct (logan to slc (airport)),logan,http://logan.craigslist.org/rid/3329090313.html,"i am flying out on thursday the 11th and id like to be to the airport by 130. i am happy to get there early. 
and/or 
i arrive in slc at 110p on the 15th and would love a return ride as well. 
ill totally share in costs. if your trip takes you downto [...]",2012-10-10T09:25:40-06:00,emailnotfound
"logan to midwest (iowa city, ia)",logan,http://logan.craigslist.org/rid/3328888034.html,im driving to iowa city the week of the 14th. not exactly sure of the date but willing to be somewhat flexible. i plan on taking i80 the whole way with maybe one or two stops for a nap. i have room for 1 with some room for luggage. just looking to sp [...],2012-10-10T07:43:48-06:00,emailnotfound
need ride utah to new mexico,logan,http://logan.craigslist.org/rid/3318769914.html,"i need to go to farmington, nm on 10/18 and then be back to logan by 10/22. if you are leaving from slc or going to alb i can just get dropped off along the way or whatever works and i can help pay for gas. text me 435- seven four zero-0226",2012-10-05T13:49:21-06:00,emailnotfound
truck drivers: family pet needs ride to oregon  (salt lake city to oregon),logan,http://logan.craigslist.org/rid/3318534853.html,"women's best friend desperately needs a ride to oregon to be reunited with her owner. 
we can reimburse for transportation costs. 
yellow lab, sammie, is in salt lake city, utah. she is 8 years old, friendly and well behaved. 
she will need to be pic [...]",2012-10-05T12:21:38-06:00,emailnotfound
metric oct 6 (slc),logan,http://logan.craigslist.org/rid/3314505813.html,"anyone going to metric on oct 6? me and a buddy are trying to catch a ride. willing to throw down on gas/provide brews. give me a call! 
612-600-9115 
lets boogie!",2012-10-03T16:24:19-06:00,emailnotfound
