title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"odd time ride to msp/rst (rochester, mn)",rmn,http://rmn.craigslist.org/rid/3414982607.html,need an odd time comfortable and private ride from rochester to msp/rst/rochester local area. will pick up/drop anywhere in rochester. price ~$150 to msp. thanks. ,2012-11-16T17:48:38-06:00,emailnotfound
rochester mn to chicago dec 3rd (marshall mn),rmn,http://rmn.craigslist.org/rid/3409935830.html,"i will be leaving marshall, mn early morning on december 3rd heading to chicago area. will be driving across mn on 14 through mankato, rochester, and then on 90 through lacrosse to madison and then south through beloit to chicago. 
i can pick up or d [...]",2012-11-14T15:15:08-06:00,emailnotfound
"friendly dog looking for ride to ca (rapid city, sd)",rmn,http://rmn.craigslist.org/rid/3387534831.html,"hello! my boyfriend and i recently moved out west and had to leave our four-legged friend at home. now we have the ability to keep him and he's looking for a ride out - we are willing to help out on gas expenses. if you're coming this way, he's a ver [...]",2012-11-05T02:21:10-06:00,emailnotfound
travel for less to any state or city look,rmn,http://rmn.craigslist.org/rid/3343677041.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-11-03T08:37:11-05:00,emailnotfound
rochester direct vip tickets,rmn,http://rmn.craigslist.org/rid/3378216835.html,"i have several prepaid rochester direct tickets/certificates available for purchase or trade. these are left over from a bundle i had purchased a while back due to the drudge of commuting, the shuttle makes it very convenient . rochester direct norma [...]",2012-10-31T19:05:00-05:00,emailnotfound
rochester to twin cities n back (rochester/minneapolis),rmn,http://rmn.craigslist.org/rid/3350546730.html,"i drive up to the twin cities via 52 north every other weekend. 
i can drive u or haul somingthing for u. i just need to be paid. 
i can drive u back to rochester sun. night 
please dont plan on having any drugs on you 
if u r riding in my car! we wi [...]",2012-10-31T07:10:48-05:00,emailnotfound
roch to oak center (general store),rmn,http://rmn.craigslist.org/rid/3367333949.html,i go there a couple of times a month and am interested in carpooling to a concert. i live in rochester. we could meet before heading out there. ,2012-10-26T17:54:58-05:00,emailnotfound
ride needed from rochester to st paul (nw rochester),rmn,http://rmn.craigslist.org/rid/3345334841.html,hello. i need a rideshare for this coming friday or saturday to st paul. i have gas money and i am good company. thank you. five oh seven three one three four one eight seven. text.,2012-10-17T11:28:06-05:00,emailnotfound
to or from the tin cities (rochester),rmn,http://rmn.craigslist.org/rid/3337063481.html,"i can offer ride share at following dates / time / location. 
btw i am male. 
10/16/12 / 1630 / from rochester to cities ( can drop at the airport, mall or the university eastbank and west bank ) 
10/16/12 / 2000 / from cities ( airport, mall or the  [...]",2012-10-13T17:06:55-05:00,emailnotfound
rideshare rochester to austin & back m-f (rochester),rmn,http://rmn.craigslist.org/rid/3335973794.html,"i am looking for someone to rideshare with me to and from work in austin from rochester m-f, 7-4 or 8-5 (i can be somewhat flexible). 
lindamn1@charter.net",2012-10-13T09:22:02-05:00,emailnotfound
need a ride from roch to st paul~ trade for edibles... (nw rochester),rmn,http://rmn.craigslist.org/rid/3335030919.html,hello! :) i would like a ride from rochester to st paul tomorrow at any time you are leaving....:) i have edibles to trade....;) thanks!,2012-10-12T18:26:09-05:00,emailnotfound
"need a ride from washington to mayo clinic in rochester, mn",rmn,http://rmn.craigslist.org/rid/3333905089.html,"two girls and a six and a half pound dog in serious need of a ride to the mayo clinic in rochester, mn. we are going to take care of a dear friend who is about to undergo chemotherapy and radiation treatments. we are willing to pay $300.00 towards ga [...]",2012-10-12T10:58:56-05:00,emailnotfound
need ride from washington to rochester,rmn,http://rmn.craigslist.org/rid/3333023319.html,"2 girlz an 1 small dog, with a couple bags in tacoma, wa. need to get to the mayo clinic leaving this friday oct. 12th. please call dawn or shay @ 206-321-5185",2012-10-11T21:42:06-05:00,emailnotfound
rochester direct vip tickets,rmn,http://rmn.craigslist.org/rid/3263622834.html,"i have several prepaid rochester direct tickets/certificates available for purchase or trade. these are left over from a bundle i had purchased a while back due to the drudge of commuting, the shuttle makes it very convenient . rochester direct norma [...]",2012-10-09T22:18:08-05:00,emailnotfound
"rochester to st.paul (rochester to 3m, st. paul)",rmn,http://rmn.craigslist.org/rid/3323500224.html,"looking for a rideshare mon through friday starting oct 15. work hours 8.30 am to 5.00 p.m. 
looking for someone who is commuting this way. so i could join and ready to share little more than gas expenses too. ",2012-10-07T19:41:25-05:00,emailnotfound
ride offered to denver (lax),rmn,http://rmn.craigslist.org/rid/3313478315.html,"hello! i'm looking for a rider to denver at the end of next week-- room for 2... share gas cost;). good people only! 
thanks",2012-10-03T10:48:22-05:00,emailnotfound
weekly rideshare,rmn,http://rmn.craigslist.org/rid/3312030661.html,"commuting from red wing to winona 7am-5pm. 
monday and thursday. possibly more days in the near future. times slightly negotiable. can meet in red wing and south for ride share. professional and normal!",2012-10-02T16:36:02-05:00,emailnotfound
